/home/jessica/miniconda3/envs/Profiles/bin/python3.7 /home/jessica/GitHub/Profiles/development/time.py
/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         168064882 function calls (167970669 primitive calls) in 1995.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   493847    0.194    0.000    0.194    0.000 {method 'startswith' of 'str' objects}
     5290    0.187    0.000  119.693    0.023 <__array_function__ internals>:2(dot)
   455390    0.186    0.000    0.186    0.000 {built-in method builtins.iter}
   328727    0.183    0.000    0.183    0.000 {method 'add' of 'set' objects}
     7935    0.177    0.000    0.181    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:191(__getitem__)
    10661    0.169    0.000    0.233    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/codecs.py:319(decode)
     7973    0.159    0.000    0.301    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:278(units)
   212471    0.154    0.000    0.159    0.000 {built-in method _abc._abc_instancecheck}
     7938    0.150    0.000    0.550    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1128(__neg__)
    18584    0.147    0.000    0.155    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:437(__init__)
        1    0.147    0.147    0.151    0.151 /home/jessica/GitHub/Profiles/profiles/utils.py:304(identify_profile)
     7041    0.141    0.000    0.173    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:151(null_term)
    13232    0.133    0.000    0.139    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:33(_eq)
     5290    0.129    0.000    0.427    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:38(asmatrix)
    89935    0.126    0.000    0.126    0.000 {built-in method _operator.add}
   431649    0.123    0.000    0.123    0.000 {built-in method builtins.hash}
   657384    0.120    0.000    0.120    0.000 {method 'end' of 're.Match' objects}
    18572    0.118    0.000    0.232    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_methods.py:44(_any)
    18533    0.115    0.000    0.115    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/nanfunctions.py:859(_nanmean_dispatcher)
   329134    0.114    0.000    0.114    0.000 {method 'join' of 'str' objects}
     5289    0.107    0.000    0.107    0.000 /home/jessica/GitHub/Profiles/profiles/Thermo_Profile.py:177(<listcomp>)
     5308    0.099    0.000    0.128    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:924(_is_multiplicative)
    15887    0.099    0.000    0.119    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:421(from_string)
    18549    0.098    0.000    0.098    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/multiarray.py:1043(copyto)
    10604    0.084    0.000    0.084    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:379(<listcomp>)
   814/22    0.079    0.000    0.101    0.005 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/arrayprint.py:726(recurser)
     5289    0.078    0.000    0.078    0.000 /home/jessica/GitHub/Profiles/profiles/Thermo_Profile.py:198(<listcomp>)
     5292    0.072    0.000   10.680    0.002 {built-in method math.isnan}
        1    0.072    0.072    0.184    0.184 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/dialects/v20/ardupilotmega.py:7(<module>)
      242    0.070    0.000    0.097    0.000 {built-in method builtins.__build_class__}
     2710    0.068    0.000 1240.719    0.458 {built-in method builtins.next}
    10661    0.064    0.000    0.064    0.000 {built-in method _codecs.utf_8_decode}
    48181    0.064    0.000    0.064    0.000 {built-in method utcfromtimestamp}
    10775    0.062    0.000    0.062    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:303(__getitem__)
     2650    0.061    0.000    0.313    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:852(parse_expression)
      3/2    0.059    0.020    0.670    0.335 <frozen importlib._bootstrap>:978(_find_and_load)
    37168    0.046    0.000    0.046    0.000 {built-in method numpy.seterrobj}
        1    0.044    0.044    1.115    1.115 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:482(init_clock)
        1    0.042    0.042    0.078    0.078 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/lib/npyio.py:1548(genfromtxt)
        3    0.042    0.014    0.107    0.036 <frozen importlib._bootstrap_external>:1356(find_spec)
     5137    0.039    0.000    0.040    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pandas/core/dtypes/generic.py:7(_check)
        3    0.039    0.013    0.039    0.013 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1154    0.037    0.000    0.042    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:382(message_arrived)
     5301    0.035    0.000    0.039    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/compat/chainmap.py:97(__bool__)
        2    0.035    0.017    0.035    0.017 {method 'readline' of '_io.BufferedReader' objects}
        1    0.034    0.034    0.695    0.695 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/mavutil.py:80(set_dialect)
        1    0.032    0.032    0.037    0.037 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        9    0.031    0.003    0.031    0.003 {built-in method io.open}
     5448    0.030    0.000    0.030    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/definitions.py:35(is_multiplicative)
    58262    0.028    0.000    0.028    0.000 {method 'mro' of 'type' objects}
     5290    0.028    0.000    0.028    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/multiarray.py:707(dot)
