/home/jessica/GitHub/data_templates/01082020/20200108_2123.json
Profile from  2020-01-08 21:24:20.381116 to 2020-01-08 21:32:06.650325 added
1 profile(s) including those added from file /home/jessica/GitHub/data_templates/01082020/00000108.BIN
Temperature sensor 1 removed
/home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/metpy/xarray.py:655: MetpyDeprecationWarning: The dewpoint_rh function was deprecated in version 0.12. This function has been renamed dewpoint_from_relative_humidity.
  return func(*args, **kwargs)
         37220892 function calls (37138684 primitive calls) in 678.433 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   657531    0.643    0.000    0.643    0.000 {method 'match' of 're.Pattern' objects}
    21217    0.641    0.000    2.391    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:779(parse_units)
    95530    0.596    0.000    0.651    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1370(__len__)
    58262    0.594    0.000    0.626    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:656(to_units_container)
        6    0.591    0.098    4.987    0.831 /home/jessica/GitHub/Profiles/profiles/utils.py:122(regrid_data)
        1    0.590    0.590    0.590    0.590 {method 'poll' of 'select.poll' objects}
    21222    0.587    0.000    0.895    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:795(_parse_units)
   329909    0.586    0.000    0.586    0.000 {method 'unpack' of 'Struct' objects}
   602448    0.555    0.000    1.106    0.000 {built-in method builtins.getattr}
    21222    0.512    0.000    1.407    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:896(_parse_units)
    22998    0.511    0.000    1.619    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1398(__getitem__)
    32296    0.510    0.000    0.510    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:74(<dictcomp>)
     5292    0.504    0.000   14.858    0.003 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1406(__setitem__)
     5301    0.504    0.000    3.843    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:713(_convert)
        1    0.502    0.502  510.085  510.085 /home/jessica/GitHub/Profiles/profiles/Raw_Profile.py:41(__init__)
29243/29190    0.461    0.000    0.506    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/unit.py:41(__new__)
   108446    0.428    0.000    0.432    0.000 {built-in method _warnings.warn}
    10588    0.382    0.000    5.209    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:300(dimensionless)
    21184    0.374    0.000    7.723    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:338(_convert_magnitude_not_inplace)
     5301    0.362    0.000    5.528    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:965(_convert)
    10602    0.355    0.000    1.323    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:938(_validate_and_extract)
    16149    0.349    0.000    0.530    0.000 <__array_function__ internals>:2(copyto)
    16133    0.345    0.000   11.553    0.001 <__array_function__ internals>:2(nanmean)
    48463    0.345    0.000    0.345    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    74174    0.341    0.000    0.341    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:309(__hash__)
     5290    0.331    0.000  113.974    0.022 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:217(__mul__)
    10602    0.313    0.000    0.756    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:940(<listcomp>)
    34556    0.309    0.000    0.340    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:295(type_has_good_TimeMS)
   325015    0.306    0.000    0.432    0.000 {built-in method __new__ of type object at 0x56484589f320}
    16184    0.298    0.000    1.437    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:446(__exit__)
    16184    0.289    0.000    1.551    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:441(__enter__)
      428    0.271    0.001    0.301    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:57(__init__)
     5291    0.227    0.000   10.033    0.002 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:532(__float__)
  1076105    0.225    0.000    0.225    0.000 {method 'items' of 'dict' objects}
    32287    0.212    0.000    0.212    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/fromnumeric.py:2040(_sum_dispatcher)
   455390    0.207    0.000    0.207    0.000 {built-in method builtins.iter}
    16142    0.206    0.000    0.398    0.000 {method 'any' of 'numpy.generic' objects}
    13225    0.202    0.000    0.209    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:169(__array_finalize__)
     5301    0.200    0.000    5.763    0.001 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:1210(_convert)
  1048987    0.197    0.000    0.197    0.000 {method 'append' of 'list' objects}
    10661    0.192    0.000    0.264    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/codecs.py:319(decode)
    39953    0.192    0.000    0.192    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:258(magnitude)
    13231    0.184    0.000    1.220    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1478(<genexpr>)
   494045    0.181    0.000    0.181    0.000 {method 'startswith' of 'str' objects}
        2    0.169    0.085    1.028    0.514 /home/jessica/GitHub/Profiles/profiles/utils.py:31(regrid_base)
     7935    0.167    0.000    0.171    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:191(__getitem__)
     5290    0.163    0.000  113.227    0.021 <__array_function__ internals>:2(dot)
   212471    0.162    0.000    0.168    0.000 {built-in method _abc._abc_instancecheck}
        1    0.151    0.151    0.155    0.155 /home/jessica/GitHub/Profiles/profiles/utils.py:326(identify_profile)
     7938    0.150    0.000    0.538    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1128(__neg__)
     7973    0.138    0.000    0.270    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:278(units)
    13232    0.135    0.000    0.142    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:33(_eq)
   657384    0.130    0.000    0.130    0.000 {method 'end' of 're.Match' objects}
   328727    0.129    0.000    0.129    0.000 {method 'add' of 'set' objects}
     5290    0.121    0.000    0.414    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/matrixlib/defmatrix.py:38(asmatrix)
    89935    0.115    0.000    0.115    0.000 {built-in method _operator.add}
    16184    0.113    0.000    0.121    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/numpy/core/_ufunc_config.py:437(__init__)
   431649    0.113    0.000    0.113    0.000 {built-in method builtins.hash}
     5261    0.113    0.000    0.166    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/quantity.py:1171(compare)
     7041    0.108    0.000    0.130    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pymavlink/DFReader.py:151(null_term)
     5308    0.101    0.000    0.131    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/registry.py:924(_is_multiplicative)
    15887    0.098    0.000    0.121    0.000 /home/jessica/miniconda3/envs/Profiles/lib/python3.7/site-packages/pint/util.py:421(from_string)
